Heads of Expenditure,1990-91 ,1995-96 ,1996-97 ,1997-98 ,1998-99 ,1999-2000 ,2000-01 ,2001-02 ,2002-03 ,2003-04 (RE),2003-04 ,2004-05 (BE),2004-05 (RE),2004-05 ,2005-06 (BE),2005-06 (RE),2005-06 ,2006-07 (BE),2006-07 (RE),2006-07 ,2007-08 (BE),2007-08 (RE),2007-08 ,2008-09 (BE),2008-09 (R.E.) ,2008-09 ,2009-10 (B.E.),2009-10 (R.E.),2009-10 ,2010-11 (B.E.),2010-11 (R.E.),2010-11 ,2011-12 (B.E.),2011-12 (R.E.),2011-12 ,2012-13 (B.E.),2012-13 (R.E.),2012-13 ,2013-14 (B.E.),2013-14 (R.E.),2013-14 ,2014-15 (B.E.),2014-15 (RE),2015-16 (BE)
4. Industry and minerals,2471.18,3745.07,5208.55,4181.66,4705.51,5853.49,5563.05,6306.15,13377.26,18774.41,18409.96,13104.09,13273.14,11094.12,14667.37,13356.06,12689.05,12148.39,12691.04,15355.93,14661.12,19202.21,13106.13,19866.03,19237.74,20995.56,23913.95,32758.75,32575.45,25724.79,65151.75,62483,49337.31,94405.26,92643.72,74906.87,125020.07,120287,95670.15,111232,108878,94261,88603,61341
5. Fertilizer subsidy,4400,6235,5906,7322,7806,8963,9492,8091,7790,8138,8521,8616,10620.73,10985,11063.44,11977,13075,12447,16808,15924,16808,19474,32490,20139,75849,76602.35,49980,52980.25,61264.29,49980.73,54976.68,62301.21,49997.87,67977.87,70791.61,60974.13,65974.13,65613,65971.53,67972,70933,72970,70912,72969
"6. Power, irrigation & flood control",2699.19,8612.37,13488.89,11915.58,13391.57,14220.69,19171.72,23114.92,22479.22,38452.82,36097.69,26840.83,30319.13,20001.68,24853.86,26258.37,25425.66,29300.49,34880.87,35391.99,34678.53,39280.97,34423.92,41683.74,44132.86,41552.71,39564.68,40063.83,40861.53,44697.11,48775.23,46114.03,52939.63,57344.88,59606.65,65334.55,33720.79,79342,81487.67,90712,82298,109371,109986,111802
a) Power projects,886.92,3007.14,7189.68,5265.28,5113.74,6017.67,10876.5,15711.24,14783.4,31235.26,30103.35,18976.94,23050.76,20446.09,16932.24,19344.37,18798.45,20001.77,25776.41,25640.45,24379.86,28036.19,27082.49,28216.88,34743.96,33536.78,28567.79,28447.99,31675.5,29970.93,36308.4,35513.9,38684.37,42841.28,47803.89,49024.66,19425.86,68125,64669.84,75275,73411,91005,96686,98055
b) Major & medium irrigation (Non-commercial),361.76,3023.2,3484.22,3836.42,5141.96,5345.48,5132.1,4096.81,4509.93,3927.45,2848.25,4243.79,3542.75,-3744.85,4046.6,3105.91,2855.88,4776.66,4392.75,3252.48,5275.33,4131.38,2547.11,5160.6,3305.32,2452.18,4315.16,4604.65,2486.79,6901.12,3822.13,2338.95,3685.12,2790.44,2434.32,3496.67,2653.66,2421,3421.22,3412,1660,3609,1898,1812
c) Minor irrigation,1001.71,1722.59,1907.11,1904.01,2078.91,1702,1938.45,2033.92,1941.3,2119.38,1956.33,2225.43,2418.25,2246.71,2339.05,2495.67,2438.8,2887.68,3203.28,5085.54,3248.23,5527.03,3184.18,6486.78,4242.91,3694.43,4461.39,4704.47,4462.71,5073.18,5690.3,5381.18,6339.74,6405.42,4729.21,6986.95,6295.82,3663,7310.11,7037,2583,5982,3090,3718
d) Others,448.8,859.44,907.88,909.87,1056.96,1155.54,1224.67,1272.95,1244.59,1170.73,1189.76,1394.67,1307.37,1053.73,1535.97,1312.42,1332.53,1634.38,1508.43,1413.52,1775.11,1586.37,1610.14,1819.48,1840.67,1869.32,2220.34,2306.72,2236.53,2751.88,2954.4,2880,4230.4,5307.74,4639.23,5826.27,5345.45,5133,6086.5,4988,4645,8776,8313,8216
7. Transport and Communications,2633.66,4794.16,5969.1,6893.05,7968.45,10554.29,15986.17,18533.2,19846.21,19493.37,19611.03,17643.97,20462.45,20053.1,24803.2,27765.28,28186.23,34245.63,37193.09,36955.53,39132.26,40650.56,38695.44,42893.95,42968.26,42221.73,52813.12,53484.65,56368.44,53393.19,70360.8,70196.38,71938.88,74810.03,72946.46,84430.92,66390.57,67985,79257.83,75602,73843,78549,79869,77602
a) Roads and bridges,1939.11,3270.68,4377.04,4959.02,5394.6,7649.38,12662.28,12026.56,13314.75,12692.12,12800.53,12864.24,13231.4,13396.59,18764.2,20662.81,20682.36,27295.95,29026.99,29320.27,30970.59,31613.55,30462.18,33853.05,34229.14,33686.63,39973.27,39652.83,42060.68,40959.44,56393.27,56806.9,57342.51,59624.72,60347.1,67923.66,53064.59,53324,62337.6,54770,54600,55827,58561,53294
b) Civil aviation,25.63,68.89,74.01,132.22,177.94,178.78,181.79,228.45,242.52,269.66,262.87,269.38,362.09,362.1,295.5,425.56,421.39,406.08,500.84,483.25,530.19,1201.93,1192.66,531.27,744.15,741.86,798.45,1120.38,1126.7,1531.14,1396.12,1333.44,1083.57,1128.43,934.14,1216.5,1255.96,1145,929.94,1012,1000,985,1012,971
"c) Ports, lighthouses & shipping",128.57,282.75,240.02,348.79,519.55,577.26,621.35,620.22,546.11,637.65,611.59,612.68,659.12,591.52,622.45,630.54,634.39,662.2,836.38,768.63,896.21,965.38,966.22,861.39,1122.9,1002.47,1137.66,918.68,884.95,1137.66,1173.38,1161.1,1089.59,986.97,958.37,1154.13,907.03,898,1325.39,1381,1340,1559,1489,1853
d) Others,540.35,1171.84,1278.03,1453.02,1876.36,2148.87,2520.75,5657.97,5742.83,5893.94,5936.04,3897.67,6209.84,5702.89,5121.05,6046.37,6448.09,5881.4,6828.88,6383.38,6735.27,6869.7,6074.38,7648.24,6872.07,6790.77,10903.74,11792.76,12296.11,9764.95,11398.03,10894.94,12423.21,13069.91,10706.85,14136.63,11162.99,12618,14664.9,18438,16903,20177,18807,21483
8. Public works,903.88,1547.36,1842.94,2140.9,2202.95,2762.46,3084.45,3236.35,2909.36,3165.73,3303.92,3464.89,3400.73,3451.94,3650.88,3823.58,3785.98,4950.46,5006.49,5085.86,5260.63,5643.08,5468.83,5932.17,6460.07,6157.65,8024.7,8511.72,7443.1,8386.33,8960.3,7992.05,9195.27,9954.91,9290.77,11083.32,11408.19,10103,11958.36,12148,10587,13303,13074,14339
C. SELF-BALANCING ITEMS,5.45,0.04,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,-,0,-,0,0,0,0,0,0,0,0,0,0,0
D. TRANSFER TO FUNDS TOTAL EXPENDITURE,1078.74,82.55,2228.1,2749.88,3868.13,3028.58,4539.65,5650.08,6918.17,8483.68,7853.44,9259.85,9754.18,9650.67,7819.41,8241.85,7796.49,7234.78,8590.71,8574.9,9319.37,5522.31,5564.78,5363.11,6505.61,4918.02,7082.99,7636.06,7950.44,9279.69,11507.29,10782.68,11902.8,12863.92,-,14168.76,-,-,-,-,-,-,-,-
(A+B+C+D),122950.01,245635.42,282779.16,321144.36,385325.3,448444.93,485387.82,536475.92,585107.03,684893.16,653976.95,711356.81,732711.53,700306.61,800363.44,820103.39,789336.65,904891.91,944191.8,921053.44,1039458.87,1077807.67,1011221.06,1216613.76,1348873.9,1290508.47,1515349.37,1548767.24,1541723.66,1669255.44,1858138.9,1784314.15,1983196.52,2090692.92,2017535.71,2332765.74,2327768.91,2272152,2647312.19,2675721,2531370,2971983,2962919,3176210
